Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM48;335
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM47;323
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM46;293
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM45;347
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM44;337
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM43;336
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM42;370
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM41;313
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM40;345
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM39;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM38;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM37;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM36;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM35;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM34;269
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM33;342
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM32;344
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM31;373
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM30;324
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM29;307
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM28;271
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM27;340
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM26;351
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM25;320
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM24;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM23;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM22;308
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM21;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM20;250
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM19;351
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM18;344
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM17;344
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM16;312
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM15;311
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM14;343
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM13;320
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM12;305
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM11;328
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM10;353
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM09;325
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM08;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM07;310
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM06;340
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM05;368
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM04;389
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM03;417
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM02;408
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2024SM01;461
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM52;379
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM51;328
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM50;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM49;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM48;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM47;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM46;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM45;302
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM44;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM43;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM42;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM41;274
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM40;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM39;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM38;273
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM37;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM36;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM35;226
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM34;276
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM33;252
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM32;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM31;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM30;232
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM29;244
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM28;263
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM27;234
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM26;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM25;231
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM24;241
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM23;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM22;233
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM21;251
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM20;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM19;223
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM18;237
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM17;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM16;281
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM15;300
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM14;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM13;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM12;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2023SM11;296
